 ,Mean(RP1column),Mean(CBpeduncle),Mean(stimu)
802,34.847,28.016,35.833
803,34.825,27.803,36.167
804,34.878,27.918,36.333
805,34.742,27.859,36.250
806,34.710,27.776,35.250
807,34.860,27.949,35.917
808,34.810,27.892,36.667
809,34.819,27.902,35.917
810,34.665,27.750,35.917
811,34.780,27.782,35.917
812,34.696,27.704,35.917
813,34.723,27.798,36.583
814,34.626,27.720,35.583
815,34.625,27.617,35.583
816,34.649,27.681,35.583
817,34.560,27.592,35.833
818,34.498,27.569,35.583
819,34.539,27.550,36.500
820,34.573,27.652,36.417
821,34.581,27.535,35.250
822,34.441,27.460,36.417
823,34.575,27.503,36.250
824,34.499,27.385,35.667
825,34.522,27.408,35.917
826,34.407,27.494,35.417
827,34.432,27.437,35.417
828,34.474,27.313,35.500
829,34.444,27.339,35.750
830,34.499,27.389,35.750
831,34.489,27.446,35.750
832,34.438,27.497,35.833
833,34.318,27.232,35.667
834,34.430,27.411,35.667
835,34.363,27.411,35.750
836,34.372,27.374,35.667
837,34.413,27.473,35.667
838,34.344,27.361,35.667
839,34.309,27.274,36.000
840,34.368,27.368,35.667
841,34.559,27.333,36.000
842,34.613,27.421,35.583
843,34.612,27.411,35.833
844,34.699,27.383,36.000
845,34.591,27.301,35.833
846,34.568,27.335,35.833
847,34.514,27.307,36.000
848,34.530,27.328,35.833
849,34.372,27.232,35.833
850,34.470,27.226,35.833
851,34.417,27.229,36.167
852,34.406,27.249,35.833
853,34.467,27.414,35.917
854,34.472,27.363,35.833
855,34.386,27.360,35.917
856,34.297,27.184,35.917
857,34.364,27.347,35.917
858,34.424,27.321,35.917
859,34.411,27.330,36.583
860,34.285,27.345,40.333
861,34.254,27.324,46.833
862,34.236,27.299,50.667
863,34.271,27.299,53.833
864,34.170,27.308,58.000
865,34.308,27.405,61.917
866,34.319,27.271,64.667
867,34.198,27.303,64.750
868,34.232,27.241,64.667
869,34.227,27.346,64.583
870,34.273,27.341,64.667
871,34.296,27.356,64.333
872,34.219,27.386,64.250
873,34.233,27.362,64.333
874,34.171,27.352,64.750
875,34.258,27.336,64.500
876,34.243,27.538,64.500
877,34.270,27.441,64.500
878,34.223,27.547,64.500
879,34.200,27.434,64.500
880,34.256,27.570,64.500
881,34.222,27.618,64.500
882,34.152,27.552,64.500
883,34.080,27.533,64.500
884,34.132,27.852,64.500
885,34.080,27.822,64.500
886,33.976,27.902,64.833
887,33.742,27.721,64.500
888,33.679,27.597,64.500
889,33.566,27.563,64.500
890,33.510,27.465,64.500
891,33.262,27.301,64.500
892,33.209,27.192,64.500
893,33.138,27.185,64.833
894,33.110,27.168,64.500
895,33.054,27.035,64.833
896,33.034,27.077,64.833
897,33.068,27.473,64.500
898,33.120,27.451,65.000
899,33.161,27.424,65.000
900,33.132,27.358,65.000
901,32.977,27.335,65.000
902,32.903,27.161,65.000
903,32.958,27.168,65.000
904,32.979,27.251,65.000
905,33.007,27.183,65.000
906,32.879,26.971,65.000
907,32.985,27.032,64.917
908,32.929,27.115,64.917
909,32.922,27.092,65.000
910,32.874,27.059,64.917
911,32.904,27.174,65.083
912,32.943,27.237,65.000
913,32.923,27.102,65.333
914,32.799,27.059,65.000
915,32.851,27.136,65.083
916,32.905,27.119,65.083
917,32.860,27.147,65.083
918,32.833,27.072,64.917
919,32.884,27.110,64.500
920,32.770,27.076,64.500
921,32.831,27.098,64.583
922,32.914,27.106,64.583
923,32.906,27.237,64.583
924,32.962,27.276,64.583
925,32.845,27.082,64.583
926,32.947,27.133,64.583
927,32.954,27.243,64.583
928,33.024,27.236,64.583
929,33.099,27.108,64.583
930,33.125,27.140,64.583
931,33.157,27.165,64.583
932,33.113,27.174,64.250
933,33.061,27.060,64.250
934,33.098,27.094,64.583
935,32.990,27.030,64.583
936,33.379,32.382,64.583
937,33.530,33.196,64.583
